idx, name, x, y, Y, R, G, B
01, dark skin, 0.431600, 0.377700, 0.100800, 306, 244, 204
02, light skin, 0.419700, 0.374400, 0.349500, 504, 413, 357
03, blue sky, 0.276000, 0.301600, 0.183600, 297, 342, 438
04, foliage, 0.370300, 0.449900, 0.132500, 272, 305, 201
05, blue flower, 0.299900, 0.285600, 0.230400, 368, 359, 490
06, bluish green, 0.284800, 0.391100, 0.417800, 368, 508, 472
07, orange, 0.529500, 0.405500, 0.311800, 546, 364, 180
08, purplish blue, 0.230500, 0.210600, 0.112600, 243, 265, 492
09, moderate red, 0.501200, 0.327300, 0.193800, 486, 268, 274
10, purple, 0.331900, 0.248200, 0.063700, 256, 188, 310
11, yellow green, 0.398400, 0.500800, 0.444600, 451, 509, 230
12, orange yellow, 0.495700, 0.442700, 0.435700, 567, 452, 189
13, blue, 0.201800, 0.169200, 0.057500, 174, 195, 440
14, green, 0.325300, 0.503200, 0.231800, 282, 405, 232
15, red, 0.568600, 0.330300, 0.125700, 442, 199, 175
16, yellow, 0.469700, 0.473400, 0.598100, 591, 539, 197
17, magenta, 0.415900, 0.268800, 0.200900, 478, 273, 418
18, cyan, 0.213100, 0.302300, 0.193000, 214, 372, 478
19, white 9.5, 0.346900, 0.360800, 0.913100, 627, 628, 623
20, neutral 8, 0.344000, 0.358400, 0.589400, 541, 544, 544
21, neutral 6.5, 0.343200, 0.358100, 0.363200, 442, 446, 448
22, neutral 5, 0.344600, 0.357900, 0.191500, 340, 341, 342
23, neutral 3.5, 0.340100, 0.354800, 0.088300, 245, 247, 252
24, black 2, 0.340600, 0.353700, 0.031100, 159, 160, 164
