idx, name, x, y, Y, R, G, B
01, dark skin, 0.431600, 0.377700, 0.100800, 333, 296, 268
02, light skin, 0.419700, 0.374400, 0.349500, 443, 405, 378
03, blue sky, 0.276000, 0.301600, 0.183600, 337, 361, 406
04, foliage, 0.370300, 0.449900, 0.132500, 318, 337, 270
05, blue flower, 0.299900, 0.285600, 0.230400, 378, 374, 431
06, bluish green, 0.284800, 0.391100, 0.417800, 387, 447, 433
07, orange, 0.529500, 0.405500, 0.311800, 457, 380, 264
08, purplish blue, 0.230500, 0.210600, 0.112600, 298, 312, 421
09, moderate red, 0.501200, 0.327300, 0.193800, 426, 321, 324
10, purple, 0.331900, 0.248200, 0.063700, 298, 252, 330
11, yellow green, 0.398400, 0.500800, 0.444600, 425, 448, 307
12, orange yellow, 0.495700, 0.442700, 0.435700, 471, 425, 276
13, blue, 0.201800, 0.169200, 0.057500, 240, 256, 390
14, green, 0.325300, 0.503200, 0.231800, 332, 395, 300
15, red, 0.568600, 0.330300, 0.125700, 401, 267, 249
16, yellow, 0.469700, 0.473400, 0.598100, 487, 465, 286
17, magenta, 0.415900, 0.268800, 0.200900, 424, 324, 399
18, cyan, 0.213100, 0.302300, 0.193000, 285, 378, 423
19, white 9.5, 0.346900, 0.360800, 0.913100, 510, 511, 509
20, neutral 8, 0.344000, 0.358400, 0.589400, 466, 467, 467
21, neutral 6.5, 0.343200, 0.358100, 0.363200, 419, 420, 421
22, neutral 5, 0.344600, 0.357900, 0.191500, 361, 361, 362
23, neutral 3.5, 0.340100, 0.354800, 0.088300, 295, 297, 300
24, black 2, 0.340600, 0.353700, 0.031100, 220, 221, 224
